VirginID,BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,VirginPO,VirginLot,SupplierProduct,VirginQty,ProductID
5789,6091,745,11/30/2015 16:14,4,26365,34,Praxair NI-328-2,344.730011,211
5790,6092,745,11/30/2015 20:27,4,,,Other (NA625),0,210
5820,6113,745,12/8/2015 17:40,4,,6,Praxair CO-538-1,952.5440063,513
5822,6115,745,12/9/2015 21:07,4,24629,15-A625-2,ATI A625,345.2000122,212
5881,6153,745,1/7/2016 15:19,4,26365,35,Praxair NI-328-2,997.9031982,211
5958,6194,745,2/15/2016 14:22,4,24707,6,Praxair CO-538-1,1347.170044,513
5977,6203,745,2/22/2016 13:10,4,24630,15-CMM-1,ATI (CoCrMo),141.8000031,511
5978,6204,745,2/22/2016 13:11,4,24630,15-CMM-2,ATI (CoCrMo),170.8000031,511
5979,6206,557,2/22/2016 13:24,4,22200,UK1740,LPW (CoCrMo),30,512
6133,6297,745,5/2/2016 12:55,4,29500,9,Praxair CO-538-1,459,513
6134,6298,745,5/2/2016 12:57,4,29500,10,Praxair CO-538-1,141,513
6273,6379,807,7/8/2016 15:51,4,,11,Praxair CO-538-1,204.1199951,513
6330,6422,807,8/3/2016 13:02,4,,13,Praxair CO-538-1,435.8399963,513
6386,6455,807,8/26/2016 14:34,4,29500,14,Praxair CO-538-1,210,513
6383,6456,807,8/26/2016 14:35,4,,16,Praxair CO-538-1,395,513
6463,6513,807,10/6/2016 15:15,4,29500,17,Praxair CO-538-1,200,513
6508,6542,807,10/26/2016 12:31,4,29500,18,Praxair CO-538-1,520,513
6603,6602,745,12/13/2016 12:54,4,31050,2,Praxair CU-149-4,122.0999985,231
6625,6616,745,12/21/2016 20:29,4,31050,3,Praxair CU-149-4,195,231
6626,6617,745,12/21/2016 20:29,4,31050,5,Praxair CU-149-4,90.72000122,231
6627,6618,745,12/21/2016 20:56,4,,1,Praxair CU-149-4,97.23999786,231
6644,6632,745,1/5/2017 12:29,4,,Legacy,ATI (NA718),73.66999817,221
6645,6633,745,1/5/2017 12:36,4,,Legacy,ATI (NA718),73.66999817,221
6649,6636,811,1/6/2017 19:46,4,37191,US80162,LPW LPW-625-AACR,200,213
6657,6642,807,1/11/2017 13:25,4,31050,4,Praxair CU-149-4,235.8699951,231
6663,6646,745,1/13/2017 12:56,4,23397,UK6002,LPW (SS17-4),240,311
6664,6649,745,1/13/2017 15:48,4,23397,UK2448,LPW (SS17-4),36.04000092,311
6678,6656,745,1/19/2017 14:22,4,23397,UK2448,LPW (SS17-4),70.27999878,311
6748,6700,745,2/21/2017 18:09,4,38609,3,Praxair NI-111-12,100,241
6770,6713,807,3/2/2017 12:18,4,38305,3,Praxair NI-1302,395,223
6771,6714,745,3/2/2017 12:39,4,20217,522-313,Other (NA718),51.5,220
6772,6715,745,3/2/2017 13:39,4,25477,UK2355,Carpenter (NA718),100,222
6773,6716,745,3/2/2017 13:48,4,25477,UK2355,Carpenter (NA718),20,222
6784,6723,745,3/7/2017 19:26,4,29801,1,Praxair FE-353,90.72000122,331
6785,6724,745,3/8/2017 11:22,4,37860,2,Praxair FE-353,158,331
6786,6727,807,3/8/2017 17:13,4,38305,5,Praxair TruForm 174-2,290,312
6837,6756,745,3/29/2017 14:39,4,39796,3,Praxair CU-169,150,611
6860,6768,807,4/5/2017 15:59,4,38305,4,Praxair NI-1302,305,223
6892,6785,745,4/18/2017 19:58,4,38305,7,Praxair TruForm 174-2,408,312
6977,6833,807,5/23/2017 19:23,4,38305,5,Praxair NI-1302,105,223
6990,6841,807,5/30/2017 12:34,4,39796,3,Praxair CU-169,38.40000153,611
"7029, 7030",6866,807,6/13/2017 12:50,4,"38305, 41666",6,Praxair NI-1302,500,223
7099,6908,745,7/10/2017 13:33,4,40708,1,Praxair FE-386,50,341
7119,6922,745,7/14/2017 13:39,4,,E211001,Other (CoCrMo),27.12000084,510
7130,6930,745,7/19/2017 16:52,4,41511,Y5618B,Carpenter Micro-Melt PSM Mod 939,40.91999817,251
7156,6945,807,7/27/2017 19:39,4,41210,4,Praxair CU-169,400,611
7175,6957,1170,8/7/2017 14:04,4,38305,8,Praxair TruForm 174-2,300,312
7176,6958,1170,8/7/2017 14:10,4,41666,7,Praxair NI-1302,205,223
7185,6965,1170,8/9/2017 13:28,4,37861,1,Praxair FE-379,120,351
"7201, 7202",6977,807,8/14/2017 13:59,4,43815,"Y5156B1, Y5618B",Carpenter Micro-Melt PSM Mod 939,54.43104935,251
7225,6989,1170,8/21/2017 18:44,4,44155,8,Praxair TruForm 174-2,315,312
7315,7040,807,9/18/2017 14:16,4,44725,4,Praxair CU-169,45.35919952,611
7317,7042,807,9/18/2017 18:46,4,41666,7,Praxair NI-1302,350,223
7388,7083,807,10/19/2017 17:54,4,29500,19,Praxair CO-538-1,385,513
7453,7124,745,11/15/2017 22:07,4,44452,Y6035B1,Carpenter Micro-Melt PSM Mod 939,54.47999954,251
7496,7153,807,12/5/2017 17:44,4,29500,20,Praxair CO-538-1,25,513
7497,7154,807,12/5/2017 17:51,4,45039,5,Praxair CU-169,340,611
7498,7155,745,12/5/2017 18:04,4,46240,472168,Oerlikon MetcoAdd 17-4PH-A,600,313
7566,7196,1170,1/3/2018 21:31,4,45039,6,Praxair CU-169,1020,611
7578,7204,1170,1/9/2018 14:30,4,37860,2,Praxair FE-353,350,331
7652,7250,807,2/12/2018 17:18,4,47536,9,Praxair NI-1302,600,223
7672,7263,745,2/16/2018 22:03,4,29500,19,Praxair CO-538-1,385,513
7677,7267,807,2/20/2018 20:22,4,29500,21,Praxair CO-538-1,510,513
7680,7269,807,2/21/2018 14:25,4,,IN718,P&W HMI 718-4,290,228
7815,7363,745,4/9/2018 14:44,4,29500,23,Praxair CO-538-1,100,513
7817,7365,745,4/9/2018 19:49,4,29500,22,Praxair CO-538-1,375,513
7845,7385,1170,4/17/2018 15:27,4,29500,24,Praxair CO-538-1,415,513
8068,7523,745,7/3/2018 13:32,4,29500,24,Praxair CO-538-1,415,513
8071,7526,745,7/3/2018 19:24,4,53310,480068,Oerlikon MetcoAdd 17-4PH-A,317.5,313
8104,7550,745,7/16/2018 14:06,4,,C49,Carpenter Invar 49,150,371
8179,7597,1256,8/10/2018 16:16,4,53310,481041,Oerlikon MetcoAdd 17-4PH-A,322.0499878,313
8200,7609,1256,8/15/2018 19:35,4,54668,11,Praxair TruForm 174-2,150.0800018,312
8225,7626,1256,8/22/2018 20:58,4,47536,11,Praxair NI-1302,300,223
