BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginQty
6091,745,2015-11-30 16:14:00,4,211,26365,34,344.7300109863281
6092,745,2015-11-30 20:27:00,4,210,,,0.0
6113,745,2015-12-08 17:40:00,4,513,,6,952.5440063476562
6115,745,2015-12-09 21:07:00,4,212,24629,15-A625-2,345.20001220703125
6153,745,2016-01-07 15:19:00,4,211,26365,35,997.9031982421875
6194,745,2016-02-15 14:22:00,4,513,24707,6,1347.1700439453125
6203,745,2016-02-22 13:10:00,4,511,24630,15-CMM-1,141.8000030517578
6204,745,2016-02-22 13:11:00,4,511,24630,15-CMM-2,170.8000030517578
6206,557,2016-02-22 13:24:00,4,512,22200,UK1740,30.0
6297,745,2016-05-02 12:55:00,4,513,29500,9,459.0
6298,745,2016-05-02 12:57:00,4,513,29500,10,141.0
6379,807,2016-07-08 15:51:00,4,513,,11,204.1199951171875
6422,807,2016-08-03 13:02:00,4,513,,13,435.8399963378906
6455,807,2016-08-26 14:34:00,4,513,29500,14,210.0
6456,807,2016-08-26 14:35:00,4,513,,16,395.0
6513,807,2016-10-06 15:15:00,4,513,29500,17,200.0
6542,807,2016-10-26 12:31:00,4,513,29500,18,520.0
6602,745,2016-12-13 12:54:00,4,241,31050,2,122.0999984741211
6616,745,2016-12-21 20:29:00,4,241,31050,3,195.0
6617,745,2016-12-21 20:29:00,4,241,31050,5,90.72000122070312
6618,745,2016-12-21 20:56:00,4,241,,1,97.23999786376953
6632,745,2017-01-05 12:29:00,4,222,,Legacy,73.66999816894531
6633,745,2017-01-05 12:36:00,4,222,,Legacy,73.66999816894531
6636,811,2017-01-06 19:46:00,4,213,37191,US80162,200.0
6642,807,2017-01-11 13:25:00,4,241,31050,4,235.8699951171875
6646,745,2017-01-13 12:56:00,4,311,23397,UK6002,240.0
6649,745,2017-01-13 15:48:00,4,311,23397,UK2448,36.040000915527344
6656,745,2017-01-19 14:22:00,4,311,23397,UK2448,70.27999877929688
6700,745,2017-02-21 18:09:00,4,251,38609,3,100.0
6713,807,2017-03-02 12:18:00,4,223,38305,3,395.0
6714,745,2017-03-02 12:39:00,4,220,20217,522-313,51.5
6715,745,2017-03-02 13:39:00,4,221,25477,UK2355,100.0
6716,745,2017-03-02 13:48:00,4,221,25477,UK2355,20.0
6723,745,2017-03-07 19:26:00,4,331,29801,1,90.72000122070312
6724,745,2017-03-08 11:22:00,4,331,37860,2,158.0
6727,807,2017-03-08 17:13:00,4,312,38305,5,290.0
6756,745,2017-03-29 14:39:00,4,611,39796,3,150.0
6768,807,2017-04-05 15:59:00,4,223,38305,4,305.0
6785,745,2017-04-18 19:58:00,4,312,38305,7,408.0
6833,807,2017-05-23 19:23:00,4,223,38305,5,105.0
6841,807,2017-05-30 12:34:00,4,611,39796,3,38.400001525878906
6866,807,2017-06-13 12:50:00,4,223,"38305, 41666",6,500.0
6908,745,2017-07-10 13:33:00,4,341,40708,1,50.0
6922,745,2017-07-14 13:39:00,4,510,,E211001,27.1200008392334
6930,745,2017-07-19 16:52:00,4,261,41511,Y5618B,40.91999816894531
6945,807,2017-07-27 19:39:00,4,611,41210,4,400.0
6957,1170,2017-08-07 14:04:00,4,312,38305,8,300.0
6958,1170,2017-08-07 14:10:00,4,223,41666,7,205.0
6965,1170,2017-08-09 13:28:00,4,351,37861,1,120.0
6977,807,2017-08-14 13:59:00,4,261,43815,"Y5156B1, Y5618B",54.43104934692383
