BatchID,BatchCreatedBy,BatchTimeStamp,BatchFacilityID,ProductID,VirginPO,VirginLot,VirginWeight,CurrentWeight
5841,224,7/22/2015 20:41,10,221,25477,UK2355,147.1000061,0
5877,797,8/13/2015 21:10,10,212,,UK5020,200,0
5902,797,8/29/2015 18:26,10,412,,UK5018,60,0
6018,178,11/19/2015 16:57,10,310,,2014-BATCH,200,0
6019,178,11/19/2015 16:57,10,311,23397,UK2252,200,0
6020,178,11/19/2015 16:57,10,311,23397,UK2350,200,0
6021,178,11/19/2015 16:57,10,222,20490,14-A718-3,200,0
6022,178,11/19/2015 16:57,10,220,,,200,0
6023,178,11/19/2015 16:57,10,220,,Starter ,200,0
6024,178,11/19/2015 16:57,10,220,,Transfer,200,0
6025,178,11/19/2015 16:57,10,221,25477,UK2355,200,0
6026,178,11/19/2015 16:57,10,211,12328,06IN716,200,0
6027,178,11/19/2015 16:57,10,211,,06IN717,200,0
6028,178,11/19/2015 16:57,10,211,24629,15-A625-2,200,0
6029,178,11/19/2015 16:57,10,211,24629,15-A625-2,200,0
6030,178,11/19/2015 16:57,10,214,20054,W2830B1,200,0
6031,178,11/19/2015 16:57,10,216,24706,28,200,0
6032,178,11/19/2015 16:57,10,216,24706,29,200,0
6033,178,11/19/2015 16:57,10,216,25106,30,200,0
6034,178,11/19/2015 16:57,10,216,,31,200,0
6035,178,11/19/2015 16:57,10,216,25715,32,200,0
6036,178,11/19/2015 16:57,10,216,25966,33,200,0
6037,178,11/19/2015 16:57,10,216,26365,34,200,0
6038,178,11/19/2015 16:57,10,217,,151222,200,97.16
6040,178,11/19/2015 16:57,10,411,21754,14-G084,200,0
6041,178,11/19/2015 16:57,10,512,24567,14-CCM-1,200,0
6042,178,11/19/2015 16:57,10,510,,EO31201,200,0
6043,178,11/19/2015 16:57,10,515,24707,6,200,0
6044,178,11/19/2015 16:57,10,513,22200,UK1740,200,0
6045,178,11/19/2015 16:57,10,514,24614,UK2134,200,0
6047,178,11/19/2015 16:57,10,261,24879,UK2428,200,0
6065,178,11/25/2015 19:55,10,321,,UK1945,10,0
6066,178,11/25/2015 19:55,10,321,,UK2042,10,0
6067,178,11/25/2015 19:55,10,321,,UK2588,10,0
6068,178,11/25/2015 19:55,10,321,,UK6008,10,0
6069,178,11/25/2015 19:55,10,321,,UK6010,10,0
6070,178,11/25/2015 19:55,10,311,,UK2207,10,0
6071,178,11/25/2015 19:55,10,311,23397,UK2448,10,0
6072,178,11/25/2015 19:55,10,311,,UK5024,10,0
6073,178,11/25/2015 19:55,10,221,25477,UK2355,200,0
6075,178,11/25/2015 19:55,10,112,,UK2336,200,0
6076,178,11/25/2015 19:55,10,112,,UK2371,5,0
6077,178,11/25/2015 19:55,10,112,,UK2459,5,0
6078,178,11/25/2015 19:55,10,216,,29,200,0
6079,178,11/25/2015 19:55,10,412,,UK5018,5,0
6081,178,11/25/2015 19:55,10,410,,Unknown,200,0
6082,178,11/25/2015 19:55,10,515,24707,6,200,0
6083,178,11/25/2015 19:55,10,230,34239,1,10,0
6085,121,11/25/2015 20:18,10,112,,UK3101,5,0
6086,121,11/25/2015 21:30,10,515,24707,4,30,0
6087,121,11/25/2015 21:40,10,412,,UK5005,5,0
6088,121,11/25/2015 21:44,10,410,,Unknown,5,0
6089,121,11/25/2015 21:46,10,411,,14-G084,7.5,0
6091,745,11/30/2015 16:14,4,216,26365,34,344.730011,0
6095,121,11/30/2015 22:30,10,216,,30,13.65999985,0
6096,121,11/30/2015 22:32,10,216,,30,13,0
6098,121,12/1/2015 21:42,10,312,23397,UK6002,10,0
6099,121,12/1/2015 22:00,10,212,,UK5020,10,0
6113,745,12/8/2015 17:40,4,515,,6,952.5440063,0
6115,745,12/9/2015 21:07,4,211,24629,15-A625-2,345.2000122,0
6142,121,12/30/2015 19:49,10,512,24630,15-CCM-3,256,0
6153,745,1/7/2016 15:19,4,216,26365,35,997.9031982,0
6183,121,2/6/2016 5:36,10,113,29463,UK6032,40,0
6194,745,2/15/2016 14:22,4,515,24707,6,1347.170044,0
6203,745,2/22/2016 13:10,4,512,24630,15-CCM-1,141.8000031,0
6204,745,2/22/2016 13:11,4,512,24630,15-CCM-2,170.8000031,0
6206,557,2/22/2016 13:24,4,513,22200,UK1740,30,0
6213,812,2/23/2016 18:57,10,113,28440,UK6035,160,0
6239,745,3/16/2016 16:14,0,512,24630,15-CCM-4,608,0
6244,812,3/18/2016 18:11,10,113,29463,UK6032,60,0
6249,812,3/22/2016 23:46,10,113,29463,UK6038,140,0
6268,224,4/5/2016 21:24,10,321,29820,UK5089,200,0
6272,812,4/9/2016 2:37,10,113,29463,UK6038,200,0
6273,812,4/9/2016 4:29,10,111,29467,0480/2/5,50,0
6297,745,5/2/2016 12:55,4,515,29500,9,459,0
6298,745,5/2/2016 12:57,4,515,29500,10,141,0
6299,812,5/3/2016 2:01,10,113,30707,UK6038,110,0
6321,812,5/25/2016 8:17,10,321,29820,UK6045,200,0
6322,812,5/25/2016 8:37,10,113,30707,UK80211,165,0
6369,797,7/1/2016 21:10,10,312,31666,US80023,300,0
6379,807,7/8/2016 15:51,4,515,,11,204.1199951,0
6395,121,7/13/2016 14:42,10,410,,1892/3,20,0
6422,807,8/3/2016 13:02,4,515,,13,435.8399963,0
6424,797,8/4/2016 20:45,10,230,34239,1,123.0999985,0
6426,224,8/5/2016 14:27,10,231,32919,US80060,300,0
6427,224,8/5/2016 14:29,10,231,32919,US80061,20,0
6428,224,8/5/2016 18:45,10,312,32919,US80039,140,0
6429,811,8/5/2016 18:51,10,321,32919,US80055,410,0
6430,811,8/5/2016 20:10,10,413,32919,US80045,290,0
6455,807,8/26/2016 14:34,4,515,29500,14,210,0
6456,807,8/26/2016 14:35,4,515,,16,395,0
6480,224,9/20/2016 20:45,10,312,23397,UK6002,160,0
6481,224,9/20/2016 20:47,10,311,23397,UK2448,90,0
6484,176,9/22/2016 13:57,10,312,31666,US80023,40,0
6506,224,10/4/2016 17:55,10,213,34805,US80095,150,0
6507,224,10/4/2016 18:09,10,414,34757,US80086,70,0
6508,224,10/4/2016 18:10,10,414,34757,US80094,130,0
6513,807,10/6/2016 15:15,4,515,29500,17,200,0
