BlendID,BlendDate,BlendCreatedBy,MaterialID,TotalWeight
1,2014-12-31 06:00:00,178,310,99.98
2,2014-12-31 06:00:00,178,310,109.1
3,2015-01-07 06:00:00,178,310,107.2
4,2015-01-09 06:00:00,178,310,106.86
5,2015-01-16 06:00:00,178,310,123.92
6,2015-01-20 06:00:00,178,310,110.0
7,2015-01-27 06:00:00,178,310,101.64
8,2015-01-27 06:00:00,178,310,126.31
9,2015-01-27 06:00:00,178,310,106.10000000000001
10,2015-01-27 06:00:00,178,310,115.78999999999999
11,2015-01-27 06:00:00,178,310,113.88000000000001
12,2015-01-27 06:00:00,178,310,110.24
13,2015-02-12 06:00:00,178,310,108.86
14,2015-02-23 06:00:00,178,310,106.48
15,2015-02-23 06:00:00,178,310,111.12
16,2015-03-05 06:00:00,178,310,109.85
17,2015-03-05 06:00:00,178,310,113.14
18,2015-03-05 06:00:00,178,310,111.12
19,2015-03-10 06:00:00,178,310,10.0
20,2015-03-10 06:00:00,178,310,113.0
21,2015-03-13 06:00:00,178,310,120.0
22,2015-03-13 06:00:00,178,310,113.12
23,2015-03-16 06:00:00,178,310,116.10000000000001
24,2015-03-27 06:00:00,178,310,11.52
25,2015-03-27 06:00:00,178,310,120.58000000000001
26,2015-03-27 06:00:00,178,310,114.22
27,2015-04-05 06:00:00,178,310,111.10000000000001
28,2015-04-10 06:00:00,178,310,121.97
29,2015-04-17 06:00:00,178,310,119.69999999999999
30,2015-04-17 06:00:00,178,310,121.46
31,2015-04-24 06:00:00,178,310,110.96000000000001
32,2015-05-01 06:00:00,178,310,119.33999999999999
33,2015-05-01 06:00:00,178,310,114.54
34,2015-05-01 06:00:00,178,310,119.14
35,2015-05-08 06:00:00,178,310,115.98
36,2015-05-08 06:00:00,178,310,119.94
37,2015-05-08 06:00:00,178,310,116.7
38,2015-05-15 06:00:00,178,310,116.84
39,2015-05-15 06:00:00,178,310,119.16
40,2015-05-21 06:00:00,178,310,117.0
41,2015-05-21 06:00:00,178,310,118.0
42,2015-05-21 06:00:00,178,310,115.35000000000001
43,2015-05-26 06:00:00,178,310,115.26
44,2015-06-01 06:00:00,178,310,106.9
45,2015-06-01 06:00:00,178,310,115.86
46,2015-06-05 06:00:00,178,310,110.0
47,2015-06-05 06:00:00,178,310,119.42
48,2015-06-15 06:00:00,178,310,117.34
49,2015-06-15 06:00:00,178,310,120.10000000000001
50,2015-06-15 06:00:00,178,310,115.83999999999999
51,2015-06-30 06:00:00,178,310,115.5
52,2015-06-30 06:00:00,178,310,113.28
53,2015-06-30 06:00:00,178,310,119.73
54,2015-06-30 06:00:00,178,310,121.08
55,2015-07-12 06:00:00,178,310,114.4
56,2015-07-20 06:00:00,178,310,118.52
57,2015-07-28 06:00:00,178,310,106.5
58,2015-09-21 06:00:00,178,310,101.0
59,2015-09-21 06:00:00,178,310,108.8
60,2015-09-22 06:00:00,178,310,114.58
61,2015-10-15 06:00:00,178,310,110.04
62,2015-10-15 06:00:00,178,310,113.68
63,2015-11-09 06:00:00,178,310,118.42
64,2014-12-31 06:00:00,178,220,123.04
65,2014-12-31 06:00:00,178,220,109.1
66,2015-01-12 06:00:00,178,220,134.9
67,2015-02-27 06:00:00,178,220,120.13999999999999
68,2015-03-27 06:00:00,178,220,125.14
69,2015-05-01 06:00:00,178,220,133.42000000000002
70,2015-05-01 06:00:00,178,220,50.0
71,2015-06-01 06:00:00,178,220,51.0
72,2015-06-01 06:00:00,178,220,134.92000000000002
73,2015-07-12 06:00:00,178,220,119.88
74,2014-12-31 06:00:00,178,510,122.02
75,2014-12-31 06:00:00,178,510,27.12
76,2015-01-27 06:00:00,178,510,64.62
77,2015-01-29 06:00:00,178,510,120.44
78,2015-04-08 06:00:00,178,510,123.36
79,2015-05-15 06:00:00,178,510,132.14
80,2015-05-26 06:00:00,178,510,124.16
81,2015-05-27 06:00:00,178,510,220.24
82,2015-05-29 06:00:00,178,510,254.0
83,2015-05-29 06:00:00,178,510,138.66
84,2015-05-29 06:00:00,178,510,127.52
85,2015-06-01 06:00:00,178,510,129.0
86,2015-07-12 06:00:00,178,510,122.58
87,2015-09-01 06:00:00,178,510,125.76
88,2015-09-01 06:00:00,178,510,119.61999999999999
89,2015-09-21 06:00:00,178,510,117.76
