SupplierProduct,ProductID,AlloyID
Other (AlSi10Mg),110,110
EOS 9011-0024,111,110
Carpenter LPW-ALSI10MG,112,110
Carpenter LPW-ALSI10MG-AABJ,113,110
Carpenter LPW-ALSI10MG-AALO,114,110
Carpenter LPW-ALSI10MG-ASJC,115,110
Valimet AM103C,116,110
Vulcan Labs (AlSi10Mg),117,110
Elementum A6061-RAM2,131,130
Elementum A7050-RAM2,141,140
Other (NA625),210,210
ATI A625,211,210
Carpenter LPW-625,212,210
Carpenter LPW-625-AACR,213,210
Carpenter Micro-Melt 625AM,214,210
Carpenter PowderRange 625 F,215,210
Praxair TruForm 625-2 / NI-328-2,216,210
Standard Steels i625-15,217,210
Other (NA718),220,220
Carpenter LPW-718-2,221,220
ATI A718,222,220
Oerlikon MetcoAdd 718C,223,220
P&W HMI 718-4,224,220
Praxair NI-1302-L74,225,220
Praxair TruForm 718-N63,226,220
Other (NA718-API),230,220
Carpenter LPW-718API-AAPB,231,220
ATI API 6A718,232,220
Praxair TruForm 718 API / NI-1302,233,220
Praxair TruForm K500 / CU-149-4,241,240
Praxair TruForm HX-12 / NI-111-12,251,250
Carpenter LPW-939-1,261,260
Carpenter CT-PSM130-AAAA,262,260
Carpenter Micro-Melt PSM Mod 939,263,260
Other (SS174),310,310
Carpenter LPW-174-AR,311,310
Carpenter LPW-174AR-AAAN,312,310
Praxair TruForm 174-2,313,310
Oerlikon MetcoAdd 17-4PH-A,314,310
Other (SS316L),320,320
Carpenter LPW-316-AAAV,321,320
Carpenter PowderRange 316L F,322,320
Praxair TruForm 316-3,323,320
Oerlikon MetcoAdd 316L-A,324,320
Vulcan Labs (SS316L),325,320
Praxair TruForm 36 / FE-353,331,330
Praxair FE-386,341,340
Other (S4140),350,350
Praxair FE-379,351,350
QuesTek Ferrium C64,361,360
Carpenter Ferrium C64,362,360
Praxair Ferrium C64,363,360
Carpenter Invar 49,371,370
Sandvik SAF25104,381,380
Other (Ti64),410,410
AP&C Ti-6Al-4V,411,410
Carpenter LPW-TI64GD5,412,410
Carpenter LPW-TI64GD5-AAFG,413,410
Carpenter LPW-TI64GD5-AAOK,414,410
Praxair TruForm 6-4 / TI-105-1,415,410
Vulcan Labs (Ti64),416,410
Hoeganaes ANCOR TI GR23A,421,420
Oerlikon MetcoAdd Ti-6Al-4V ELI,422,420
AP&C (Ti64-G23),423,420
Other (CoCrMo),510,510
EOS (CoCrMo),511,510
ATI CCM,512,510
Carpenter LPW-COCR-2LC,513,510
Carpenter LPW-COCR-2MC,514,510
Praxair TruForm CCM / CO-538-1,515,510
Other (C18150),610,610
Praxair TruForm CuCrZr / CU-169,611,610
ATI GRCop-84,621,620
