PartID,BlendID,PartBlendID,PartBatchID,AddedWeight
1,1,,6018,99.98
2,2,,6018,109.1
3,3,,6019,107.2
4,4,,6018,106.86
5,5,1,,24.44
6,5,2,,99.48
7,6,3,,107.2
8,6,,6019,2.8
9,7,6,,91.64
10,7,,6019,10.0
11,8,1,,33.16
12,8,4,,93.15
13,9,7,,96.84
14,9,,6019,9.26
15,10,1,,14.58
16,10,5,,101.21
17,11,1,,2.18
18,11,10,,111.7
19,12,9,,100.24
20,12,,6019,10.0
21,13,12,,98.86
22,13,,6019,10.0
23,14,13,,96.48
24,14,,6020,10.0
25,15,1,,14.58
26,15,14,,96.54
27,16,8,,14.96
28,16,11,,94.89
29,17,8,,63.14
30,17,,6020,50.0
31,18,1,,14.58
32,18,15,,96.54
33,19,17,,100.0
34,19,,6020,10.0
35,20,18,,103.0
36,20,,6020,10.0
37,21,,6020,120.0
38,22,16,,11.84
39,22,19,,101.28
40,23,16,,12.98
41,23,20,,103.12
42,24,21,,111.52
43,25,22,,14.54
44,25,24,,106.04
45,26,16,,54.22
46,26,,6020,60.0
47,27,22,,16.56
48,27,23,,94.54
49,28,22,,14.12
50,28,27,,107.85
51,29,22,,9.04
52,29,25,,110.66
53,30,26,,12.94
54,30,29,,108.52
55,31,22,,93.84
56,31,26,,17.12
57,32,26,,15.74
58,32,28,,103.6
59,33,26,,5.48
60,33,31,,109.06
61,34,26,,10.48
62,34,30,,108.66
63,35,33,,105.98
64,35,,6020,10.0
65,36,34,,109.94
66,36,,6020,10.0
67,37,32,,109.18
68,37,,6020,7.52
69,38,35,,10.84
70,38,36,,106.0
71,39,35,,3.86
72,39,38,,115.3
73,40,35,,6.1
74,40,37,,110.9
75,41,35,,6.92
76,41,39,,111.08
77,42,35,,5.12
78,42,40,,110.23
79,43,35,,5.06
80,43,42,,110.2
81,44,43,,106.9
82,45,35,,7.36
83,45,41,,108.5
84,46,35,,5.86
85,46,44,,104.14
86,47,36,,11.3
87,47,45,,108.12
88,48,35,,10.82
89,48,46,,106.52
90,49,35,,9.34
91,49,47,,110.76
