BlendID,BlendDate,BlendCreatedBy,AlloyID,TotalWeight,CurrentWeight
1,2014-12-31 06:00:00,178,310,99.98,0.0
2,2014-12-31 06:00:00,178,310,109.1,9.62
3,2015-01-07 06:00:00,178,310,107.2,0.0
4,2015-01-09 06:00:00,178,310,106.86,13.71
5,2015-01-16 06:00:00,178,310,123.92,22.71
6,2015-01-20 06:00:00,178,310,110.0,18.36
7,2015-01-27 06:00:00,178,310,101.64,4.8
8,2015-01-27 06:00:00,178,310,126.31,48.21
9,2015-01-27 06:00:00,178,310,106.10000000000001,5.86
10,2015-01-27 06:00:00,178,310,115.78999999999999,4.09
11,2015-01-27 06:00:00,178,310,113.88000000000001,18.99
12,2015-01-27 06:00:00,178,310,110.24,11.38
13,2015-02-12 06:00:00,178,310,108.86,12.38
14,2015-02-23 06:00:00,178,310,106.48,9.94
15,2015-02-23 06:00:00,178,310,111.12,14.58
16,2015-03-05 06:00:00,178,310,109.85,30.81
17,2015-03-05 06:00:00,178,310,113.14,13.14
18,2015-03-05 06:00:00,178,310,111.12,8.12
19,2015-03-10 06:00:00,178,310,110.0,8.72
20,2015-03-10 06:00:00,178,310,113.0,9.88
21,2015-03-13 06:00:00,178,310,120.0,8.48
22,2015-03-13 06:00:00,178,310,113.12,0.0
23,2015-03-16 06:00:00,178,310,116.10000000000001,21.56
24,2015-03-27 06:00:00,178,310,111.52,5.48
25,2015-03-27 06:00:00,178,310,120.58000000000001,9.92
26,2015-03-27 06:00:00,178,310,114.22,52.46
27,2015-04-05 06:00:00,178,310,111.10000000000001,3.25
28,2015-04-10 06:00:00,178,310,121.97,18.37
29,2015-04-17 06:00:00,178,310,119.69999999999999,11.18
30,2015-04-17 06:00:00,178,310,121.46,12.8
31,2015-04-24 06:00:00,178,310,110.96000000000001,1.9
32,2015-05-01 06:00:00,178,310,119.33999999999999,10.16
33,2015-05-01 06:00:00,178,310,114.54,8.56
34,2015-05-01 06:00:00,178,310,119.14,9.2
35,2015-05-08 06:00:00,178,310,115.98,37.96
